,ds,y
256,2019-05-03 00:00:00,185.22
257,2019-05-03 00:00:00,185.22
258,2019-04-26 00:00:00,191.67
259,2019-04-26 00:00:00,191.67
260,2019-04-18 00:00:00,218.88
261,2019-04-18 00:00:00,218.88
262,2019-04-12 00:00:00,217.42
263,2019-04-12 00:00:00,217.42
264,2019-04-05 00:00:00,215.41
265,2019-04-05 00:00:00,215.41
266,2019-03-29 00:00:00,207.78
267,2019-03-29 00:00:00,207.78
268,2019-03-22 00:00:00,204.66
269,2019-03-22 00:00:00,204.66
270,2019-03-15 00:00:00,208.08
271,2019-03-15 00:00:00,208.08
272,2019-03-08 00:00:00,200.89
273,2019-03-08 00:00:00,200.89
274,2019-03-01 00:00:00,207.49
275,2019-03-01 00:00:00,207.49
276,2019-02-22 00:00:00,209.35
277,2019-02-22 00:00:00,209.35
278,2019-02-15 00:00:00,208.86
279,2019-02-15 00:00:00,208.86
280,2019-02-08 00:00:00,199.82
281,2019-02-08 00:00:00,199.82
282,2019-02-01 00:00:00,199.16
283,2019-02-01 00:00:00,199.16
284,2019-01-25 00:00:00,195.9
285,2019-01-25 00:00:00,195.9
286,2019-01-18 00:00:00,195.86
287,2019-01-18 00:00:00,195.86
288,2019-01-11 00:00:00,192.21
289,2019-01-11 00:00:00,192.21
290,2019-01-04 00:00:00,191.32
291,2019-01-04 00:00:00,191.32
292,2018-12-28 00:00:00,189.37
293,2018-12-28 00:00:00,189.37
294,2018-12-21 00:00:00,183.75
295,2018-12-21 00:00:00,183.75
296,2018-12-14 00:00:00,196.1
297,2018-12-14 00:00:00,196.1
298,2018-12-07 00:00:00,198.24
299,2018-12-07 00:00:00,198.24
300,2018-11-30 00:00:00,207.92
301,2018-11-30 00:00:00,207.92
302,2018-11-23 00:00:00,196.8
303,2018-11-23 00:00:00,196.8
304,2018-11-16 00:00:00,209.0
305,2018-11-16 00:00:00,209.0
306,2018-11-09 00:00:00,201.1
307,2018-11-09 00:00:00,201.1
308,2018-11-02 00:00:00,192.81
309,2018-11-02 00:00:00,192.81
310,2018-10-26 00:00:00,184.95
311,2018-10-26 00:00:00,184.95
312,2018-10-19 00:00:00,199.85
313,2018-10-19 00:00:00,199.85
314,2018-10-12 00:00:00,198.23
315,2018-10-12 00:00:00,198.23
316,2018-10-05 00:00:00,213.19
317,2018-10-05 00:00:00,213.19
318,2018-09-28 00:00:00,210.71
319,2018-09-28 00:00:00,210.71
320,2018-09-21 00:00:00,216.33
321,2018-09-21 00:00:00,216.33
322,2018-09-14 00:00:00,207.88
323,2018-09-14 00:00:00,207.88
324,2018-09-07 00:00:00,212.57
325,2018-09-07 00:00:00,212.57
326,2018-08-31 00:00:00,210.92
327,2018-08-31 00:00:00,210.92
328,2018-08-24 00:00:00,205.29
329,2018-08-24 00:00:00,205.29
330,2018-08-17 00:00:00,204.77
331,2018-08-17 00:00:00,204.77
332,2018-08-10 00:00:00,201.96
333,2018-08-10 00:00:00,201.96
334,2018-08-03 00:00:00,207.29
335,2018-08-03 00:00:00,207.29
336,2018-07-27 00:00:00,207.42
337,2018-07-27 00:00:00,207.42
338,2018-07-20 00:00:00,201.95
