,Unnamed: 0,ticker,MSE,MAE,MAPE,last_price,3_month_yhat,interval,interval_perc,3_month_perc_change,MAPE_Score,interval_perc_Score,3_month_perc_change_Score,Strategy_Score
37,37,FDX,316.8846491352452,14.736594230624556,5.832732062469813,245.01,272.4983148645895,61.8781584623616,0.2271,0.1122,-1,-4,3,2
38,38,F,3.044092332997532,1.568566362590292,13.654269207418102,19.42,18.46228077589831,2.2871571629453697,0.1239,-0.0493,-3,-3,1,-2
39,39,GD,791.710763181807,24.28271910080891,11.272098256782751,198.16,221.70551060179005,27.152130757779418,0.1225,0.1188,-3,-3,3,0
40,40,GE,173.6149176606028,12.56543972961614,88.11433734591176,105.21,91.37579167095704,33.62307765217996,0.368,-0.1315,-4,-4,1,-3
41,41,GM,7.362395432565107,2.3797101785522217,6.03651285580817,58.64,75.11157527894021,11.324069351734964,0.1508,0.2809,-2,-3,4,2
42,42,GILD,90.13419007556216,8.179721519993393,11.37103294734215,66.47,72.55351136972163,6.458703350564136,0.089,0.0915,-3,-2,2,-1
43,43,GOOG,3689.872436758588,49.6257310163188,4.535936516886179,2973.66,3397.001039198745,182.5380462371149,0.0537,0.1424,-1,-1,3,2
44,44,GOOGL,4853.062245005344,56.776936206387525,5.162121383984421,2965.35,3361.0656802640183,181.87493821521,0.0541,0.1334,-1,-1,3,2
45,45,HD,931.4426354976404,27.980250069192135,14.740074361859628,372.18,354.7600057345335,32.01847859790411,0.0903,-0.0468,-3,-2,1,-2
46,46,INTC,22.316692181669858,4.108796556430721,8.091283452052226,50.31,60.930110446508216,10.168547645284631,0.1669,0.2111,-2,-4,4,2
47,47,IBM,242.08089891693305,11.870225076732074,7.5833823679299615,120.85,145.93564454911618,19.58743777815789,0.1342,0.2076,-2,-3,4,2
48,48,JNJ,170.67880133508,11.691547933279,9.230421884287802,164.6,183.18042750515167,13.135421116291807,0.0717,0.1129,-2,-1,3,1
49,49,JPM,41.918299243747406,5.425495459276209,4.853308510898778,168.29,199.27488439279173,26.549665578641594,0.1332,0.1841,-1,-3,4,3
50,50,KMI,1.6449742479062697,0.8915596407199085,5.083239758835619,16.75,19.677272376452105,3.107822011111196,0.1579,0.1748,-1,-4,4,3
51,51,LMT,3372.325816974099,48.89922478682059,14.464034118699589,335.5,341.28178693444056,49.60275586583919,0.1453,0.0172,-3,-3,1,-2
52,52,LOW,68.53502265266017,7.250174967592997,7.667546438705251,237.78,232.71582599672453,25.777306439089894,0.1108,-0.0213,-2,-2,1,-1
53,53,MA,220.08006431324424,12.847443168056715,7.045510055362215,335.43,382.2938035676985,48.18532603938792,0.126,0.1397,-2,-3,3,1
54,54,MCD,952.1622288506628,27.549107197132376,16.77073366149694,253.46,255.71073325753255,20.46833106463828,0.08,0.0089,-4,-1,1,-3
55,55,MDT,13.721604298252148,3.238833261728874,3.870532150137091,120.69,143.5643385161035,14.725116336100967,0.1026,0.1895,-1,-2,4,3
56,56,MRK,5.127681757268628,1.9027348550788563,3.2985563096838098,90.54,77.08639375889199,7.560978297498096,0.0981,-0.1486,-1,-2,1,0
57,57,MET,6.597156422880391,1.9748044082402307,4.103665824481787,63.91,76.91175933774463,11.128071406952555,0.1447,0.2034,-1,-3,4,3
58,58,MSFT,91.72136184330536,7.918862900016899,8.4089236419488,336.44,337.2166733954005,16.714967468912903,0.0496,0.0023,-2,-1,1,-1
59,59,MDLZ,49.7632871373098,5.627900234107165,13.113791842554582,62.09,64.78121657757251,5.531181387409319,0.0854,0.0433,-3,-2,2,-1
