ticker,RMSE,MAPE,MSE,MAE
EXC,1.20778435505765,2.07122116115365,1.45874304832201,0.91599943194473
XOM,2.7672252896605,4.13511359589506,7.65753580373665,2.14290955928334
FB,47.1651039490457,12.6872067108475,2224.54703052429,44.596509958903
FDX,12.1622650003191,3.60256392096419,147.920689937986,9.57231787966009
F,1.15762019340702,6.29552460007714,1.34008451218371,0.810891205971701
GD,15.3687266299932,7.95778954292211,236.197758227462,14.4523900189316
GE,18.2697186887399,10.0270601289009,333.782620965691,6.73747790989123
GM,3.16205740417957,4.39752493767611,9.99860702732683,2.49109073638916
GILD,1.82147014244459,2.30462099324312,3.31775347981711,1.49509675946152
GOOG,97.6320592562737,2.89700197236616,9532.01899462055,80.6526110197368
GOOGL,98.6933708469197,3.30177187881845,9740.38144912761,78.2454369007457
HD,15.648439729046,4.51746266435045,244.873665953586,13.4483211905496
INTC,3.17671719990066,4.46835916236917,10.0915321681447,2.45970858925267
IBM,5.12143708453365,3.03637695727608,26.2291178108366,3.97340686463473
JNJ,7.82768743631916,4.20518890475279,61.2726906007088,6.73874003092448
JPM,10.2559140287663,6.33780297230449,105.183772565446,9.33050248530873
KMI,0.959666241532663,4.47375583546333,0.920959295137428,0.77251881463187
LMT,29.7859279297608,7.55146684298897,887.201502636902,26.8433055355674
LOW,9.80398529942576,4.17680078100681,96.1181277513564,7.86504077576755
MA,21.4206762931262,5.31048893283875,458.8453728549,19.1106256713867
MCD,7.96218047910222,3.17269120517828,63.3963179817964,7.07841697291324
MDT,7.10368774261007,5.25003519830335,50.4623795445086,6.40382220351905
MRK,3.25362356036166,3.23537646090373,10.5860662725405,2.57671344422458
MET,4.02654689830132,6.21925342497057,16.21307992422,3.62516036714826
MSFT,9.94619736549633,3.27560248963398,98.9268420334061,8.33498777155291
MDLZ,1.72584722920806,2.33022746999096,2.97854865856512,1.3794332684211
MS,10.2619484133126,11.133956841339,105.307585237488,9.50584718670761
NEE,37.4468616026693,19.247841201657,1402.26744388947,16.1111398422509
NKE,15.9191021830476,10.0139928916814,253.41781431431,14.7586349219607
NVDA,124.815362688899,22.2721696923724,15578.8747631615,62.6003336160225
OXY,2.67496789355728,8.98976359014758,7.15545323156226,2.08174907215855
ORCL,5.86964473776945,6.41006734629314,34.4527293476246,5.04193118179054
PYPL,33.6548663340018,12.1104468319026,1132.65002795953,31.4814534759522
PEP,3.6198750035645,1.96902289572478,13.1034950414311,2.84003125642475
PFE,1.36144902429442,2.61684143370666,1.85354344575222,1.03671539574339
PM,9.99014877995666,10.046255668965,99.8030726456696,9.81977901785714
PG,2.77426020004752,1.65883017965738,7.69651965756768,2.28112525806092
QCOM,10.3465396861252,5.77584196034679,107.050883476564,8.27951600191886
SLB,2.18716126996872,7.7767196771197,4.78367442085118,1.82950722409968
SPG,8.3304084781664,5.93830434583464,69.3957054131067,6.70228552567331
SO,1.51125580501626,1.88582929811393,2.28389410819533,1.1752948533443
SBUX,5.17179259984024,3.90160764849225,26.7474386957623,4.24337350410328
TGT,16.3809668667655,6.78061395187499,268.336075490069,14.2520732571786
TXN,5.39011374326613,2.39752037471955,29.0533261653464,4.30189545213131
